# Time, Wall Area, Wall Volume, Lumen Volume, Wall Area Ratio, Wall Volume Ratio, Lumen Volume Ratio, Average J, Average I1, Average J Ratio, Average I1 Ratio, No. of Frames, Open Frame, Closing Frame, Ref Frame
2.700000000000000000e+02,2.752491017987491887e+03,8.674406887545659629e+03,1.846118027515816721e+04,1.041939059975714565e+00,1.063817414918885484e+00,1.053944459956606128e+00,1.033833271358864714e+00,2.081508189093190797e+00,1.033833271358864714e+00,1.040754094546595399e+00,1.800000000000000000e+01,3.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00
2.800000000000000000e+02,2.747488502248422265e+03,8.716866984580085045e+03,1.837691451426297499e+04,1.040045387475925232e+00,1.069024663235680572e+00,1.049133747394580984e+00,1.032086376863397659e+00,2.078059536610143088e+00,1.032086376863397659e+00,1.039029768305071544e+00,1.800000000000000000e+01,3.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00
2.900000000000000000e+02,2.737002469688307428e+03,8.755201580070985074e+03,1.822258517395487070e+04,1.036075962385285321e+00,1.073725965676962213e+00,1.040323121486477209e+00,1.028849861764790985e+00,2.071377164184066810e+00,1.028849861764790985e+00,1.035688582092033405e+00,1.800000000000000000e+01,3.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00
3.000000000000000000e+02,2.726516437128192592e+03,8.793536175561883283e+03,1.806825583364676640e+04,1.032106537294645410e+00,1.078427268118244076e+00,1.031512495578373212e+00,1.025613346666184311e+00,2.064694791757990533e+00,1.025613346666184311e+00,1.032347395878995266e+00,1.800000000000000000e+01,3.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00
3.100000000000000000e+02,2.716030404568077756e+03,8.831870771052783311e+03,1.791392649333866211e+04,1.028137112204005277e+00,1.083128570559525716e+00,1.022701869670269437e+00,1.022376831567577860e+00,2.058012419331913812e+00,1.022376831567577860e+00,1.029006209665956906e+00,1.800000000000000000e+01,3.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00
3.200000000000000000e+02,2.705544372007962920e+03,8.870205366543681521e+03,1.775959715303055782e+04,1.024167687113365366e+00,1.087829873000807357e+00,1.013891243762165661e+00,1.019140316468971186e+00,2.051330046905837534e+00,1.019140316468971186e+00,1.025665023452918767e+00,1.800000000000000000e+01,3.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00
3.300000000000000000e+02,2.705544372007962920e+03,8.870205366543681521e+03,1.775959715303055782e+04,1.024167687113365366e+00,1.087829873000807357e+00,1.013891243762165661e+00,1.019140316468971186e+00,2.051330046905837534e+00,1.019140316468971186e+00,1.025665023452918767e+00,1.800000000000000000e+01,3.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00
3.400000000000000000e+02,2.703527431068251190e+03,8.905929104738703245e+03,1.770608593260011185e+04,1.023404186148960227e+00,1.092210983468709262e+00,1.010836300715318492e+00,1.018281354044535680e+00,2.050088019759412461e+00,1.018281354044535680e+00,1.025044009879706230e+00,1.800000000000000000e+01,3.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00
3.500000000000000000e+02,2.701510490128539459e+03,8.941652842933723150e+03,1.765257471216966587e+04,1.022640685184555087e+00,1.096592093936611167e+00,1.007781357668471545e+00,1.017422391620099953e+00,2.048845992612987388e+00,1.017422391620099953e+00,1.024422996306493694e+00,1.800000000000000000e+01,3.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00
3.600000000000000000e+02,2.699493549188827728e+03,8.977376581128744874e+03,1.759906349173921990e+04,1.021877184220150170e+00,1.100973204404513073e+00,1.004726414621624375e+00,1.016563429195664447e+00,2.047603965466562759e+00,1.016563429195664447e+00,1.023801982733281379e+00,1.800000000000000000e+01,3.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00
